"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5315","shouldRetrieveAuthorDetailsByID()","","Mon Apr 21 21:41:33 GMT 2025","passed","Mon Apr 21 21:41:38 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","shouldRetrieveAuthorDetailsByID"
"","712","shouldRetrieveBooksList()","","Mon Apr 21 21:41:38 GMT 2025","passed","Mon Apr 21 21:41:39 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","shouldRetrieveBooksList"
"","599","shouldRetrieveAuthorsList()","","Mon Apr 21 21:41:40 GMT 2025","passed","Mon Apr 21 21:41:41 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","shouldRetrieveAuthorsList"
"","1305","createBookAndRetrieveItSuccessfully()","","Mon Apr 21 21:41:45 GMT 2025","failed","Mon Apr 21 21:41:46 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","createBookAndRetrieveItSuccessfully"
"","318","deleteAuthorWithInvalidId(int) [2] 0","","Mon Apr 21 21:41:45 GMT 2025","failed","Mon Apr 21 21:41:46 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteAuthorWithInvalidId"
"","1136","deleteExistingAuthor()","","Mon Apr 21 21:41:46 GMT 2025","failed","Mon Apr 21 21:41:48 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteExistingAuthor"
"","313","deleteAuthorWithInvalidId(int) [1] -1","","Mon Apr 21 21:41:45 GMT 2025","failed","Mon Apr 21 21:41:45 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteAuthorWithInvalidId"
"","918","createBookWhenIdAlreadyExisted()","","Mon Apr 21 21:41:45 GMT 2025","failed","Mon Apr 21 21:41:46 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","createBookWhenIdAlreadyExisted"
"","360","getBookWithEdgeCaseInvalidIds(int) [2] -1","","Mon Apr 21 21:41:38 GMT 2025","passed","Mon Apr 21 21:41:39 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","getBookWithEdgeCaseInvalidIds"
"","864","createBookWithMissingFields()","","Mon Apr 21 21:41:46 GMT 2025","failed","Mon Apr 21 21:41:47 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","createBookWithMissingFields"
"","923","deleteNonExistingBook()","","Mon Apr 21 21:41:46 GMT 2025","failed","Mon Apr 21 21:41:47 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteNonExistingBook"
"","345","getAuthorDetailsWithEdgeCaseInvalidIds(int) [1] 0","","Mon Apr 21 21:41:39 GMT 2025","passed","Mon Apr 21 21:41:39 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","getAuthorDetailsWithEdgeCaseInvalidIds"
"","384","getBookWithEdgeCaseInvalidIds(int) [3] 2147483647","","Mon Apr 21 21:41:39 GMT 2025","passed","Mon Apr 21 21:41:39 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","getBookWithEdgeCaseInvalidIds"
"","1075","updateAuthorDetailsSuccessfully()","","Mon Apr 21 21:41:46 GMT 2025","failed","Mon Apr 21 21:41:47 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","updateAuthorDetailsSuccessfully"
"","363","getAuthorDetailsWithEdgeCaseInvalidIds(int) [3] 2147483647","","Mon Apr 21 21:41:38 GMT 2025","passed","Mon Apr 21 21:41:39 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","getAuthorDetailsWithEdgeCaseInvalidIds"
"","312","deleteBookWithInvalidId(int) [2] 0","","Mon Apr 21 21:41:47 GMT 2025","failed","Mon Apr 21 21:41:47 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteBookWithInvalidId"
"","5022","shouldRetrieveSpecificBookByID()","","Mon Apr 21 21:41:33 GMT 2025","passed","Mon Apr 21 21:41:38 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","shouldRetrieveSpecificBookByID"
"","810","deleteNonExistingAuthor()","","Mon Apr 21 21:41:45 GMT 2025","failed","Mon Apr 21 21:41:46 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteNonExistingAuthor"
"","406","getAuthorDetailsWithEdgeCaseInvalidIds(int) [2] -1","","Mon Apr 21 21:41:39 GMT 2025","passed","Mon Apr 21 21:41:40 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","getAuthorDetailsWithEdgeCaseInvalidIds"
"","772","createAuthorWhenIdAlreadyExisted()","","Mon Apr 21 21:41:47 GMT 2025","failed","Mon Apr 21 21:41:48 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","createAuthorWhenIdAlreadyExisted"
"","1056","createAuthorAndRetrieveItSuccessfully()","","Mon Apr 21 21:41:47 GMT 2025","failed","Mon Apr 21 21:41:48 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","createAuthorAndRetrieveItSuccessfully"
"","4892","getBookWithEdgeCaseInvalidIds(int) [1] 0","","Mon Apr 21 21:41:33 GMT 2025","passed","Mon Apr 21 21:41:38 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","getBookWithEdgeCaseInvalidIds"
"","1286","updateExistingBookSuccessfully()","","Mon Apr 21 21:41:45 GMT 2025","failed","Mon Apr 21 21:41:46 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","updateExistingBookSuccessfully"
"","770","createAuthorWhenFieldsAreAbsent()","","Mon Apr 21 21:41:46 GMT 2025","failed","Mon Apr 21 21:41:46 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","createAuthorWhenFieldsAreAbsent"
"","321","deleteBookWithInvalidId(int) [1] -1","","Mon Apr 21 21:41:47 GMT 2025","failed","Mon Apr 21 21:41:47 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteBookWithInvalidId"
"","1179","deleteExistingBook()","","Mon Apr 21 21:41:46 GMT 2025","failed","Mon Apr 21 21:41:47 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteExistingBook"
